Gene.ID,C,A,P,AP,Cluster
HORVU.MOREX.r3.6HG0591100,4609,3929,885,895,c1
HORVU.MOREX.r3.6HG0591170,245,339,992,859,c2
HORVU.MOREX.r3.6HG0591220,463,256,39,33,c1
HORVU.MOREX.r3.6HG0591340,209,210,42,41,c1
HORVU.MOREX.r3.6HG0591380,441,374,99,77,c1
HORVU.MOREX.r3.6HG0592230,99,79,14,17,c1
HORVU.MOREX.r3.6HG0592410,74,81,16,19,c1
HORVU.MOREX.r3.6HG0592430,15,7,24,16,c1
HORVU.MOREX.r3.6HG0592460,8126,9147,2392,1666,c4
HORVU.MOREX.r3.6HG0592540,30,24,21,27,c1
HORVU.MOREX.r3.6HG0592840,394,353,425,510,c5
HORVU.MOREX.r3.6HG0592870,888,706,184,237,c1
HORVU.MOREX.r3.6HG0592970,13,33,372,231,c2
HORVU.MOREX.r3.6HG0593020,250,200,29,24,c1
HORVU.MOREX.r3.6HG0593200,103,139,141,83,c4
HORVU.MOREX.r3.6HG0593770,578,800,1340,855,c2
HORVU.MOREX.r3.6HG0593980,5792,5180,953,1290,c1
HORVU.MOREX.r3.6HG0594060,762,572,121,93,c1
HORVU.MOREX.r3.6HG0594160,49,37,10,5,c1
HORVU.MOREX.r3.6HG0595000,9222,10723,2808,1462,c4
HORVU.MOREX.r3.6HG0595330,20,19,110,83,c1
HORVU.MOREX.r3.6HG0596080,408,277,80,62,c1
HORVU.MOREX.r3.6HG0596150,56,58,17,10,c1
HORVU.MOREX.r3.6HG0596240,164,212,190,134,c4
HORVU.MOREX.r3.6HG0596410,0.666666667,7.666666667,31.33333333,22.33333333,c7
HORVU.MOREX.r3.6HG0596420,4,22,99,100,c1
HORVU.MOREX.r3.6HG0596440,98,103,134,103,c1
HORVU.MOREX.r3.6HG0596460,405,522,422,330,c2
HORVU.MOREX.r3.6HG0596480,1801,2565,3415,3181,c2
HORVU.MOREX.r3.6HG0596580,3872,4234,6702,4477,c2
HORVU.MOREX.r3.6HG0596640,34,25,16,32,c1
HORVU.MOREX.r3.6HG0596990,49,61,11,9,c1
HORVU.MOREX.r3.6HG0597040,715,523,995,857,c2
HORVU.MOREX.r3.6HG0597400,491,875,662,584,c2
HORVU.MOREX.r3.6HG0597710,730,641,81,79,c1
HORVU.MOREX.r3.6HG0597760,222,198,40,30,c1
HORVU.MOREX.r3.6HG0597890,101,103,22,20,c1
HORVU.MOREX.r3.6HG0598010,23,131,133,107,c4
HORVU.MOREX.r3.6HG0598470,197,247,364,338,c5
HORVU.MOREX.r3.6HG0598590,12,19,22,23,c1
HORVU.MOREX.r3.6HG0598740,209,173,38,46,c1
HORVU.MOREX.r3.6HG0598830,102,121,81,88,c1
HORVU.MOREX.r3.6HG0599280,51,18,4,5,c1
HORVU.MOREX.r3.6HG0599310,289,215,15,12,c1
HORVU.MOREX.r3.6HG0599330,12,13,24,24,c1
HORVU.MOREX.r3.6HG0599470,113,164,206,130,c6
HORVU.MOREX.r3.6HG0599800,957,896,141,91,c1
HORVU.MOREX.r3.6HG0600160,10,56,171,101,c6
HORVU.MOREX.r3.6HG0600500,144,128,115,101,c1
HORVU.MOREX.r3.6HG0600870,7,21,211,154,c2
HORVU.MOREX.r3.6HG0601060,94,78,17,27,c1
HORVU.MOREX.r3.6HG0601410,57,59,78,38,c1
HORVU.MOREX.r3.6HG0601540,2684.333333,1835,2176,1038.666667,c7
HORVU.MOREX.r3.6HG0602080,369,428,48,45,c1
HORVU.MOREX.r3.6HG0602140,155,217,167,116,c4
HORVU.MOREX.r3.6HG0602170,185,233,123,149,c1
HORVU.MOREX.r3.6HG0602210,464,419,112,82,c1
HORVU.MOREX.r3.6HG0602230,143,128,30,22,c1
HORVU.MOREX.r3.6HG0602590,62,40,13,14,c1
HORVU.MOREX.r3.6HG0602620,514,435,129,97,c1
HORVU.MOREX.r3.6HG0602680,104,109,21,24,c1
HORVU.MOREX.r3.6HG0602880,574,882,2121,1571,c2
HORVU.MOREX.r3.6HG0602910,420,867,119,102,c1
HORVU.MOREX.r3.6HG0603290,94,105,83,107,c1
HORVU.MOREX.r3.6HG0603440,44,96,12,12,c1
HORVU.MOREX.r3.6HG0603490,160,105,41,30,c1
HORVU.MOREX.r3.6HG0603650,10,45,60,43,c1
HORVU.MOREX.r3.6HG0603700,36,263,184,222,c5
HORVU.MOREX.r3.6HG0604220,54,51,6,7,c1
HORVU.MOREX.r3.6HG0604310,128,241,117,136,c1
HORVU.MOREX.r3.6HG0604390,3,16,217,176,c2
HORVU.MOREX.r3.6HG0604400,340,443,493,284,c2
HORVU.MOREX.r3.6HG0604610,200,141,177,194,c3
HORVU.MOREX.r3.6HG0604730,31,29,25,28,c1
HORVU.MOREX.r3.6HG0604810,74,104,89,62,c1
HORVU.MOREX.r3.6HG0605060,544,864,579,742,c5
HORVU.MOREX.r3.6HG0605120,265,370,259,219,c2
HORVU.MOREX.r3.6HG0605150,88,107,104,72,c1
HORVU.MOREX.r3.6HG0605270,116,96,149,96,c4
HORVU.MOREX.r3.6HG0605290,73,86,85,57,c1
HORVU.MOREX.r3.6HG0605480,311,325,215,286,c3
HORVU.MOREX.r3.6HG0605740,36,51,61,69,c1
HORVU.MOREX.r3.6HG0605810,53,71,215,127,c6
HORVU.MOREX.r3.6HG0605820,410,361,94,76,c1
HORVU.MOREX.r3.6HG0605860,350,582,582,529,c2
HORVU.MOREX.r3.6HG0605880,34,49.33333333,8,14,c7
HORVU.MOREX.r3.6HG0605940,167,690,372,357,c5
HORVU.MOREX.r3.6HG0606220,16810,11014,2226,2233,c1
HORVU.MOREX.r3.6HG0606370,206,265,195,135,c4
HORVU.MOREX.r3.6HG0606430,2,3,176,73,c6
HORVU.MOREX.r3.6HG0606570,766,618,80,90,c1
HORVU.MOREX.r3.6HG0606680,66,67,14,12,c1
HORVU.MOREX.r3.6HG0606940,99,72,13,15,c1
HORVU.MOREX.r3.6HG0607050,46,40,64,52,c1
HORVU.MOREX.r3.6HG0607090,49,39,7,13,c1
HORVU.MOREX.r3.6HG0607110,363,428,417,431,c5
HORVU.MOREX.r3.6HG0607130,23,30,9,39,c1
HORVU.MOREX.r3.6HG0607370,40956,50320,882,823,c1
HORVU.MOREX.r3.6HG0607410,814,885,188,150,c1
HORVU.MOREX.r3.6HG0607470,4507,4315,839,1013,c1
HORVU.MOREX.r3.6HG0607530,2120,2751,574,784.6666667,c7
HORVU.MOREX.r3.6HG0607560,540,678,989,1045,c5
HORVU.MOREX.r3.6HG0607570,82,66,105,112,c1
HORVU.MOREX.r3.6HG0607680,39,100,1,2,c1
HORVU.MOREX.r3.6HG0607740,51,54,14,7,c1
HORVU.MOREX.r3.6HG0608490,175,221,255,255,c5
HORVU.MOREX.r3.6HG0608790,61,43,12,12,c1
HORVU.MOREX.r3.6HG0608960,14,40,435,342,c2
HORVU.MOREX.r3.6HG0608990,226,322,784,578,c2
HORVU.MOREX.r3.6HG0609180,577,879,593,498,c2
HORVU.MOREX.r3.6HG0609190,30,67,173,194,c5
HORVU.MOREX.r3.6HG0609390,153,167,28,28,c1
HORVU.MOREX.r3.6HG0609420,83,186,283,243,c2
HORVU.MOREX.r3.6HG0609530,35,13,182,116,c6
HORVU.MOREX.r3.6HG0609670,1531,1596,1307,1372,c5
HORVU.MOREX.r3.6HG0609830,51,59,216,194,c5
HORVU.MOREX.r3.6HG0610170,200,179,40,41,c1
HORVU.MOREX.r3.6HG0610190,216,283,240,264,c5
HORVU.MOREX.r3.6HG0610240,33,46,57,23,c1
HORVU.MOREX.r3.6HG0610500,261,258,20,26,c1
HORVU.MOREX.r3.6HG0610730,450,500,411,388,c5
HORVU.MOREX.r3.6HG0610770,692,898,839,538,c2
HORVU.MOREX.r3.6HG0610780,47,39,4,10,c1
HORVU.MOREX.r3.6HG0610800,252,191,66,150,c1
HORVU.MOREX.r3.6HG0610970,122,99,110,107,c1
HORVU.MOREX.r3.6HG0611050,524,334,51,45,c1
HORVU.MOREX.r3.6HG0611090,45,49,13,8,c1
HORVU.MOREX.r3.6HG0611210,1299,1348,200,208,c1
HORVU.MOREX.r3.6HG0611480,802,696,137,105,c1
HORVU.MOREX.r3.6HG0611610,47,60,44,18,c1
HORVU.MOREX.r3.6HG0611730,201,185,31,25,c1
HORVU.MOREX.r3.6HG0611740,76,83,17,12,c1
HORVU.MOREX.r3.6HG0611930,12,17,22,32,c1
HORVU.MOREX.r3.6HG0612250,740,747,634,571,c2
HORVU.MOREX.r3.6HG0612260,142,105,14,9,c1
HORVU.MOREX.r3.6HG0612450,206,292,119,164,c1
HORVU.MOREX.r3.6HG0612480,1352,1109,248,268,c1
HORVU.MOREX.r3.6HG0612510,6,21,136,115,c3
HORVU.MOREX.r3.6HG0612680,59,11,0,0,c1
HORVU.MOREX.r3.6HG0612700,325,325,478,264,c2
HORVU.MOREX.r3.6HG0612770,488,407,94,95,c1
HORVU.MOREX.r3.6HG0612920,249,198,176,239,c3
HORVU.MOREX.r3.6HG0612960,1077,756,525,600,c5
HORVU.MOREX.r3.6HG0613220,39,27,143,148,c3
HORVU.MOREX.r3.6HG0613260,110.6666667,116.3333333,25.33333333,27.66666667,c7
HORVU.MOREX.r3.6HG0613310,101,118,12,13,c1
HORVU.MOREX.r3.6HG0613370,40,45,6,7,c1
HORVU.MOREX.r3.6HG0613410,35,27,26.33333333,15.33333333,c7
HORVU.MOREX.r3.6HG0613450,248,310,96,59,c1
HORVU.MOREX.r3.6HG0613490,2815,2295,3750,4153,c5
HORVU.MOREX.r3.6HG0613550,59,62,18,8,c1
HORVU.MOREX.r3.6HG0613640,123,138,454,175,c6
HORVU.MOREX.r3.6HG0613690,403,501,942,723,c2
HORVU.MOREX.r3.6HG0614080,9,36,100,81,c1
HORVU.MOREX.r3.6HG0614500,33,42,73,59,c1
HORVU.MOREX.r3.6HG0614510,397,147,17,14,c1
HORVU.MOREX.r3.6HG0614630,83,51,19,16,c1
HORVU.MOREX.r3.6HG0614660,77,28,9,7,c1
HORVU.MOREX.r3.6HG0614700,3157,2613,608,595,c1
HORVU.MOREX.r3.6HG0614740,67,63,14,15,c1
HORVU.MOREX.r3.6HG0614790,8,3,57,240,c3
HORVU.MOREX.r3.6HG0614830,488,552,469,256,c6
HORVU.MOREX.r3.6HG0614960,27,22,81,69,c1
HORVU.MOREX.r3.6HG0614970,602,950,1808,1329,c2
HORVU.MOREX.r3.6HG0615110,51,54,51,26,c1
HORVU.MOREX.r3.6HG0615280,170,111,10,12,c1
HORVU.MOREX.r3.6HG0615420,56,54,13,9,c1
HORVU.MOREX.r3.6HG0615470,824,455,41,37,c1
HORVU.MOREX.r3.6HG0615560,207,544,326,456,c5
HORVU.MOREX.r3.6HG0615730,43,53,41,33,c1
HORVU.MOREX.r3.6HG0615750,59,38,29,34,c1
HORVU.MOREX.r3.6HG0615840,395,546,325,372,c5
HORVU.MOREX.r3.6HG0615850,13,43,85,83,c1
HORVU.MOREX.r3.6HG0616130,118,230,162,129,c4
HORVU.MOREX.r3.6HG0616140,43,56,45,43,c1
HORVU.MOREX.r3.6HG0616150,220,352,591,487,c2
HORVU.MOREX.r3.6HG0616160,451,386,80,88,c1
HORVU.MOREX.r3.6HG0616170,2396,1331,315,289,c1
HORVU.MOREX.r3.6HG0616240,481,813,1511,1308,c2
HORVU.MOREX.r3.6HG0616300,101,78,34,17,c1
HORVU.MOREX.r3.6HG0616340,225,456,1029,746,c2
HORVU.MOREX.r3.6HG0616420,36,41,13,7,c1
HORVU.MOREX.r3.6HG0616480,48,48,18,7,c1
HORVU.MOREX.r3.6HG0616530,1158,1092,934,1063,c5
HORVU.MOREX.r3.6HG0616730,46,41,16,6,c1
HORVU.MOREX.r3.6HG0616740,51,41,9,16,c1
HORVU.MOREX.r3.6HG0616780,46,27,37,37,c1
HORVU.MOREX.r3.6HG0616790,96,81,133,104,c1
HORVU.MOREX.r3.6HG0616830,638,1189,1162,1327,c5
HORVU.MOREX.r3.6HG0616960,269,221,56,61,c1
HORVU.MOREX.r3.6HG0617010,169,339,237,256,c5
HORVU.MOREX.r3.6HG0617070,9,17,35,21,c1
HORVU.MOREX.r3.6HG0617080,1733,2170,2215,1875,c2
HORVU.MOREX.r3.6HG0617190,25,22,27,50,c1
HORVU.MOREX.r3.6HG0617210,43,22,16,21,c1
HORVU.MOREX.r3.6HG0617240,32,22,138,133,c3
HORVU.MOREX.r3.6HG0617320,107,160,178,95,c4
HORVU.MOREX.r3.6HG0617580,16,63,165,133,c2
HORVU.MOREX.r3.6HG0617730,319,567,522,423,c2
HORVU.MOREX.r3.6HG0617760,20,12,58,74,c1
HORVU.MOREX.r3.6HG0617940,100,81,24,19,c1
HORVU.MOREX.r3.6HG0618080,42,35,309,277,c5
HORVU.MOREX.r3.6HG0618090,1104,1008,174,173,c1
HORVU.MOREX.r3.6HG0618180,32,24,17,25,c1
HORVU.MOREX.r3.6HG0618640,115,180,212,159,c2
HORVU.MOREX.r3.6HG0618650,125,271,357,217,c2
HORVU.MOREX.r3.6HG0618720,2,9,90,52,c4
HORVU.MOREX.r3.6HG0618740,67,74,12,11,c1
HORVU.MOREX.r3.6HG0618750,238,263,210,204,c3
HORVU.MOREX.r3.6HG0618810,82,83,17,16,c1
HORVU.MOREX.r3.6HG0618950,358,962,631,591,c2
HORVU.MOREX.r3.6HG0619010,122,168,133,186,c3
HORVU.MOREX.r3.6HG0619040,10,26,29,36,c1
HORVU.MOREX.r3.6HG0619300,43,43,15,6,c1
HORVU.MOREX.r3.6HG0619310,47,266,47,45,c1
HORVU.MOREX.r3.6HG0619410,28,40,34,66,c1
HORVU.MOREX.r3.6HG0619470,112,63,10,13,c1
HORVU.MOREX.r3.6HG0619480,55,49,6,7,c1
HORVU.MOREX.r3.6HG0619510,611,653,408,478,c5
HORVU.MOREX.r3.6HG0619650,120,131,121,103,c1
HORVU.MOREX.r3.6HG0619890,408,407,1703,1624,c5
HORVU.MOREX.r3.6HG0620200,521,996,1587,1429,c2
HORVU.MOREX.r3.6HG0620260,1841,1861,331,325,c1
HORVU.MOREX.r3.6HG0620390,270,246,35,26,c1
HORVU.MOREX.r3.6HG0620630,12,6,39,31,c1
HORVU.MOREX.r3.6HG0620650,495,468,422,462,c5
HORVU.MOREX.r3.6HG0620720,1118,1324,926,2048,c5
HORVU.MOREX.r3.6HG0620760,128,151,135,102,c1
HORVU.MOREX.r3.6HG0620770,61,52,10,11,c1
HORVU.MOREX.r3.6HG0620920,285,196,55,54,c1
HORVU.MOREX.r3.6HG0621180,177,190,43,28,c1
HORVU.MOREX.r3.6HG0621560,84,34,2,6,c1
HORVU.MOREX.r3.6HG0621670,211,253,326,220,c2
HORVU.MOREX.r3.6HG0621800,6209,5328,5623,4429,c2
HORVU.MOREX.r3.6HG0622200,198,254,384,260,c2
HORVU.MOREX.r3.6HG0622430,341,433,487,393,c2
HORVU.MOREX.r3.6HG0622470,120,185,229,165,c2
HORVU.MOREX.r3.6HG0622500,61,48,7,6,c1
HORVU.MOREX.r3.6HG0622510,186,182,34,29,c1
HORVU.MOREX.r3.6HG0622670,50,40,10,12,c1
HORVU.MOREX.r3.6HG0622690,35,41,40,40,c1
HORVU.MOREX.r3.6HG0622700,136,226,198,157,c6
HORVU.MOREX.r3.6HG0622710,14,45,35,6,c1
HORVU.MOREX.r3.6HG0622740,201,342,180,183,c1
HORVU.MOREX.r3.6HG0622920,4718,11083,4636,3799,c2
HORVU.MOREX.r3.6HG0622970,466,684,670,359,c2
HORVU.MOREX.r3.6HG0623150,937,1559,1157,1057,c2
HORVU.MOREX.r3.6HG0623560,813,327,172,156,c1
HORVU.MOREX.r3.6HG0623650,82,79,18,17,c1
HORVU.MOREX.r3.6HG0623680,627,487,111,120,c1
HORVU.MOREX.r3.6HG0624120,52,59,5,7,c1
HORVU.MOREX.r3.6HG0624260,60,60,8,7,c1
HORVU.MOREX.r3.6HG0624460,86.33333333,113.6666667,21,22.33333333,c7
HORVU.MOREX.r3.6HG0624530,63,34,5,17,c1
HORVU.MOREX.r3.6HG0624650,63,84,157,91,c4
HORVU.MOREX.r3.6HG0624730,71,91,65,42,c1
HORVU.MOREX.r3.6HG0625080,92,93,78,85,c1
HORVU.MOREX.r3.6HG0625280,125,241,372,173,c6
HORVU.MOREX.r3.6HG0625320,211,300,465,385,c2
HORVU.MOREX.r3.6HG0625370,50,43,21,33,c1
HORVU.MOREX.r3.6HG0625730,346,382,40,38,c1
HORVU.MOREX.r3.6HG0625770,61,70,8,12,c1
HORVU.MOREX.r3.6HG0625840,3905,3578,711,711,c1
HORVU.MOREX.r3.6HG0626180,275,201,38,51,c1
HORVU.MOREX.r3.6HG0626330,126,155,354,325,c5
HORVU.MOREX.r3.6HG0626460,61,30,8,16,c1
HORVU.MOREX.r3.6HG0626690,15556,16237,1702,1792,c1
HORVU.MOREX.r3.6HG0626850,130,119,29,26,c1
HORVU.MOREX.r3.6HG0626930,79,83,22,14,c1
HORVU.MOREX.r3.6HG0627110,78,75,15,27,c1
HORVU.MOREX.r3.6HG0627120,1088,1045,201,178,c1
HORVU.MOREX.r3.6HG0627260,830,1577,1065,665,c2
HORVU.MOREX.r3.6HG0627340,24,29,152,83,c6
HORVU.MOREX.r3.6HG0627380,6,19,777,613,c2
HORVU.MOREX.r3.6HG0627470,1487,2075,1481,891,c2
HORVU.MOREX.r3.6HG0627540,386,248,57,67,c1
HORVU.MOREX.r3.6HG0627600,296,424,215,375,c3
HORVU.MOREX.r3.6HG0627690,81,59,11,11,c1
HORVU.MOREX.r3.6HG0627720,218,304,313,244,c2
HORVU.MOREX.r3.6HG0627780,66,75,81,70,c1
HORVU.MOREX.r3.6HG0628070,175,365,205,195,c3
HORVU.MOREX.r3.6HG0628250,2,7,16,48,c1
HORVU.MOREX.r3.6HG0628360,3607,3767,666,555,c1
HORVU.MOREX.r3.6HG0628390,15545,18327,3452,2600,c4
HORVU.MOREX.r3.6HG0628660,297,552,512,467,c2
HORVU.MOREX.r3.6HG0628790,45.66666667,55.33333333,11,11.33333333,c7
HORVU.MOREX.r3.6HG0628900,189,121,26,26,c1
HORVU.MOREX.r3.6HG0628910,150,138,20,20,c1
HORVU.MOREX.r3.6HG0628920,567,376,69,87,c1
HORVU.MOREX.r3.6HG0629170,117,185,42,24,c1
HORVU.MOREX.r3.6HG0629240,9,19,51,42,c1
HORVU.MOREX.r3.6HG0629260,2036,201,2808,3159,c5
HORVU.MOREX.r3.6HG0629270,36,4,12,32,c1
HORVU.MOREX.r3.6HG0629290,122,30,105,144,c3
HORVU.MOREX.r3.6HG0629440,103,159,142,79,c4
HORVU.MOREX.r3.6HG0629580,256,346,284,177,c6
HORVU.MOREX.r3.6HG0629730,29543,25581,6237,6219,c1
HORVU.MOREX.r3.6HG0629770,80,69,13,10,c1
HORVU.MOREX.r3.6HG0629810,803,585,137,196,c1
HORVU.MOREX.r3.6HG0630020,34,43,43,30,c1
HORVU.MOREX.r3.6HG0630550,521,519,169,98,c4
HORVU.MOREX.r3.6HG0630590,84,119,131,107,c1
HORVU.MOREX.r3.6HG0630650,30,68,6,4,c1
HORVU.MOREX.r3.6HG0630670,158,139,26,17,c1
HORVU.MOREX.r3.6HG0630680,45,41,4,8,c1
HORVU.MOREX.r3.6HG0630880,130,145,22,23,c1
HORVU.MOREX.r3.6HG0630890,40,73,12,7,c1
HORVU.MOREX.r3.6HG0630920,35,49,193,81,c6
HORVU.MOREX.r3.6HG0631090,6982,7029,876,795,c1
HORVU.MOREX.r3.6HG0631350,149,157,337,168,c6
HORVU.MOREX.r3.6HG0631490,305,485,49,83,c1
HORVU.MOREX.r3.6HG0631640,93,97,72,94,c1
HORVU.MOREX.r3.6HG0631700,6394,4959,4890,4989,c5
HORVU.MOREX.r3.6HG0631710,1318,1144,897,906,c5
HORVU.MOREX.r3.6HG0631780,39,33,29,27,c1
HORVU.MOREX.r3.6HG0632070,280,723,387,291,c2
HORVU.MOREX.r3.6HG0632080,42,45,9,7,c1
HORVU.MOREX.r3.6HG0632210,1184,1281,832,1061,c5
HORVU.MOREX.r3.6HG0632360,44,65,54,42,c1
HORVU.MOREX.r3.6HG0632370,140,167,144,100,c4
HORVU.MOREX.r3.6HG0632660,331,418,338,248,c2
HORVU.MOREX.r3.6HG0632680,189,168,40,37,c1
HORVU.MOREX.r3.6HG0632800,55,93,30,45,c1
HORVU.MOREX.r3.6HG0632850,172,197,33,22,c1
HORVU.MOREX.r3.6HG0632860,1258,875,114,108,c1
HORVU.MOREX.r3.6HG0633010,23,55,45,24,c1
HORVU.MOREX.r3.6HG0633070,47,45,8,6,c1
HORVU.MOREX.r3.6HG0633430,892,900,192,249,c1
HORVU.MOREX.r3.6HG0633710,52,87,194,94,c6
HORVU.MOREX.r3.6HG0633720,227,369,1001,821,c2
HORVU.MOREX.r3.6HG0633810,65,25,54,68,c1
HORVU.MOREX.r3.6HG0633820,254,193,54,50,c1
HORVU.MOREX.r3.6HG0634000,68,101,76,42,c1
HORVU.MOREX.r3.6HG0634060,59,65,15,6,c1
HORVU.MOREX.r3.6HG0634250,150,91,28,29,c1
HORVU.MOREX.r3.6HG0634290,964,537,111,135,c1
HORVU.MOREX.r3.7HG0634340,15489,10013,2023,2752,c1
HORVU.MOREX.r3.7HG0634590,21,42,248,110,c6
HORVU.MOREX.r3.7HG0634820,69,93,14,17,c1
HORVU.MOREX.r3.7HG0634830,2367,2218,626,387,c4
HORVU.MOREX.r3.7HG0634850,1257,1637,1214,808,c2
HORVU.MOREX.r3.7HG0634860,832,551,138,141,c1
HORVU.MOREX.r3.7HG0634880,155,125,27,21,c1
HORVU.MOREX.r3.7HG0635120,475,394,74,56,c1
HORVU.MOREX.r3.7HG0635160,60.33333333,44.33333333,40.66666667,30,c7
HORVU.MOREX.r3.7HG0635170,2598,2924,176,134,c1
HORVU.MOREX.r3.7HG0635300,12735,17191,430,363,c1
HORVU.MOREX.r3.7HG0635330,54,18,0,0,c1
HORVU.MOREX.r3.7HG0635380,89,187,328,236,c2
HORVU.MOREX.r3.7HG0635400,88,108,16,12,c1
HORVU.MOREX.r3.7HG0635480,96,52,9,18,c1
HORVU.MOREX.r3.7HG0635740,368,386,67,85,c1
HORVU.MOREX.r3.7HG0635790,123,122,26,17,c1
HORVU.MOREX.r3.7HG0636450,129,108,21,27,c1
HORVU.MOREX.r3.7HG0636480,728,350,126,142,c1
HORVU.MOREX.r3.7HG0636540,16,15,26,29,c1
HORVU.MOREX.r3.7HG0636630,121,105,21,11,c1
HORVU.MOREX.r3.7HG0636640,16490,12358,1471,1413,c1
HORVU.MOREX.r3.7HG0636690,334,389,4,3,c1
HORVU.MOREX.r3.7HG0636710,86,84,16,9,c1
HORVU.MOREX.r3.7HG0636790,109,168,59,10,c4
HORVU.MOREX.r3.7HG0636850,4149,4451,417,240,c1
HORVU.MOREX.r3.7HG0636900,96,79,21,14,c1
HORVU.MOREX.r3.7HG0636950,107,87,18,11,c1
HORVU.MOREX.r3.7HG0637000,156,194,30,22,c1
HORVU.MOREX.r3.7HG0637280,207,80,21,14,c1
HORVU.MOREX.r3.7HG0637470,140,112,26,25,c1
HORVU.MOREX.r3.7HG0637760,564,530,123,92,c1
HORVU.MOREX.r3.7HG0638110,70,77,77,71,c1
HORVU.MOREX.r3.7HG0638850,710,1320,1563,1124,c2
HORVU.MOREX.r3.7HG0639100,1843,2169,1847,1218,c2
HORVU.MOREX.r3.7HG0639360,269,287,57,47,c1
HORVU.MOREX.r3.7HG0639380,2254,1683,416,383,c1
HORVU.MOREX.r3.7HG0639560,531,360,95,57,c1
HORVU.MOREX.r3.7HG0639810,49,65,12,4,c1
HORVU.MOREX.r3.7HG0639840,211,304,35,38,c1
HORVU.MOREX.r3.7HG0639870,1542,1379,51,67,c1
HORVU.MOREX.r3.7HG0639980,127,20,2,2,c1
HORVU.MOREX.r3.7HG0640130,84,21,4,4,c1
HORVU.MOREX.r3.7HG0640430,49,51,11,11.33333333,c7
HORVU.MOREX.r3.7HG0640590,125,147,151,154,c3
HORVU.MOREX.r3.7HG0640720,238,640,1127,702,c2
HORVU.MOREX.r3.7HG0640950,43,35,8,10,c1
HORVU.MOREX.r3.7HG0640970,12,11,7,32,c1
HORVU.MOREX.r3.7HG0640990,15,28,29,20,c1
HORVU.MOREX.r3.7HG0641080,42,33,7,19,c1
HORVU.MOREX.r3.7HG0641110,469,821,1491,1077,c2
HORVU.MOREX.r3.7HG0641120,6,15,37,17,c1
HORVU.MOREX.r3.7HG0641160,53,80,15.33333333,19.66666667,c7
HORVU.MOREX.r3.7HG0641560,58,65,11,17,c1
HORVU.MOREX.r3.7HG0641930,42,30,8,8,c1
HORVU.MOREX.r3.7HG0642030,17,31,24,23,c1
HORVU.MOREX.r3.7HG0642050,33,38,55,75,c1
HORVU.MOREX.r3.7HG0642090,133,134,12,16,c1
HORVU.MOREX.r3.7HG0642100,167,244,17,24,c1
HORVU.MOREX.r3.7HG0642120,74,72,17,15,c1
HORVU.MOREX.r3.7HG0642300,108,222,135,128,c1
HORVU.MOREX.r3.7HG0642360,115,137,16,16,c1
HORVU.MOREX.r3.7HG0642550,248,261,292,305,c5
HORVU.MOREX.r3.7HG0642560,34,25,37,20,c1
HORVU.MOREX.r3.7HG0642580,811,801,178,143,c1
HORVU.MOREX.r3.7HG0642610,49,101,124,82,c4
HORVU.MOREX.r3.7HG0642690,2,4,83,59,c1
HORVU.MOREX.r3.7HG0642890,156,63,86,100,c1
HORVU.MOREX.r3.7HG0642910,94,179,314,173,c2
HORVU.MOREX.r3.7HG0643110,7,19,45,25,c1
HORVU.MOREX.r3.7HG0643120,10,39,84,47,c4
HORVU.MOREX.r3.7HG0643200,1559.666667,1948.666667,395,490,c7
HORVU.MOREX.r3.7HG0643210,48,268,358,330,c5
HORVU.MOREX.r3.7HG0643280,76,95,10,9,c1
HORVU.MOREX.r3.7HG0643650,149,126,34,29,c1
HORVU.MOREX.r3.7HG0643820,79,66,23,10,c1
HORVU.MOREX.r3.7HG0644010,76,131,75,46,c1
HORVU.MOREX.r3.7HG0644220,638,1029,1886,1610,c2
HORVU.MOREX.r3.7HG0644240,88,75,170,141,c2
HORVU.MOREX.r3.7HG0644320,733,538,133,163,c1
HORVU.MOREX.r3.7HG0644470,745,769,160,162,c1
HORVU.MOREX.r3.7HG0644480,623,556,23,28,c1
HORVU.MOREX.r3.7HG0644570,168,130,20,8,c1
HORVU.MOREX.r3.7HG0644650,1117,892,912,1031,c5
HORVU.MOREX.r3.7HG0645370,1070,1324,1624,1131,c2
HORVU.MOREX.r3.7HG0645770,480,443,63,93,c1
HORVU.MOREX.r3.7HG0645780,25,151,112,169,c3
HORVU.MOREX.r3.7HG0645900,28,168,830,694,c2
HORVU.MOREX.r3.7HG0646060,39,49,6,5,c1
HORVU.MOREX.r3.7HG0647190,203,503,119,330,c3
HORVU.MOREX.r3.7HG0647380,218,202,48,46,c1
HORVU.MOREX.r3.7HG0647520,577,848,613,306,c6
HORVU.MOREX.r3.7HG0647540,61,64,12,14,c1
HORVU.MOREX.r3.7HG0647990,56,102,128,90,c4
HORVU.MOREX.r3.7HG0648120,89,214,177,303,c5
HORVU.MOREX.r3.7HG0648440,215,371,244,189,c6
HORVU.MOREX.r3.7HG0648470,10,27,267,167,c2
HORVU.MOREX.r3.7HG0648480,50,94,379,227,c2
HORVU.MOREX.r3.7HG0648500,159,239,182,97,c4
HORVU.MOREX.r3.7HG0648750,172,151,38,39,c1
HORVU.MOREX.r3.7HG0648840,161,167,90,121,c1
HORVU.MOREX.r3.7HG0649080,60,74,133,94,c4
HORVU.MOREX.r3.7HG0649190,382,413,12,21,c1
HORVU.MOREX.r3.7HG0649240,4444,2981,362,352,c1
HORVU.MOREX.r3.7HG0649250,113,48,10,8,c1
